,EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AgeGroup,SalaryGroup,StayGroup,ExperienceGroup,SalaryHike
0,1,38,0.0,1,1444,0,1,4,4,4,1,88,3,1,1,2,1,2991,5224,0,1,11,3,2,1,7,2,3,6,2,1,2,Middle Age,Low Salary,Medium Stay,Senior Employee,329.01
1,2,37,1.0,2,1141,1,11,2,3,1,0,61,1,2,0,2,1,4777,14382,5,0,15,3,1,0,15,2,1,1,0,0,0,Middle Age,Low Salary,Short Stay,Senior Employee,716.55
2,3,51,1.0,2,1323,1,4,4,1,1,1,34,3,1,6,3,1,2461,10332,9,1,12,3,3,3,18,2,4,10,0,2,7,Pre-retirement Age,Low Salary,Medium Stay,Senior Employee,295.32
3,4,42,0.0,1,555,2,26,3,2,3,0,77,3,4,7,2,1,13525,14864,5,0,14,3,4,1,23,2,4,20,4,4,8,Middle Age,Medium Salary,Long Stay,Senior Employee,1893.5000000000002
4,5,40,0.0,2,1194,1,2,4,3,3,0,98,3,1,6,3,1,2001,12549,2,0,14,3,2,3,20,2,3,5,3,0,2,Middle Age,Low Salary,Short Stay,Senior Employee,280.14000000000004
5,6,29,0.0,2,352,0,6,1,3,4,1,87,2,1,1,2,1,2804,15434,1,0,11,3,4,0,1,3,3,1,0,0,0,Early worker age,Low Salary,Short Stay,Fresh Graduate,308.44
6,7,40,0.0,2,1124,2,1,2,3,2,1,57,1,2,7,4,1,7457,13273,2,1,22,4,3,3,6,2,2,4,3,0,2,Middle Age,Low Salary,Short Stay,Senior Employee,1640.54
7,8,55,1.0,2,725,1,2,3,3,4,1,78,3,5,3,1,1,19859,21199,5,1,13,3,4,1,24,2,3,5,2,1,4,Retirement Age,High Salary,Short Stay,Senior Employee,2581.67
8,9,36,0.0,1,635,1,18,1,3,2,0,73,3,1,2,4,2,2153,7703,1,0,13,3,1,0,8,2,3,8,1,1,7,Middle Age,Low Salary,Medium Stay,Senior Employee,279.89
9,10,32,0.0,2,1018,1,3,2,1,3,0,39,3,3,5,4,2,11159,19373,3,0,15,3,4,0,10,6,3,7,7,7,7,Early worker age,Medium Salary,Medium Stay,Senior Employee,1673.85
10,11,25,0.0,2,583,2,4,1,2,3,1,87,2,2,7,1,1,4256,18154,1,0,12,3,1,0,5,1,4,5,2,0,3,Early worker age,Low Salary,Short Stay,Mid-level Employee,510.71999999999997
11,12,20,1.0,2,129,1,4,3,5,1,1,84,3,1,2,1,2,2973,13008,1,0,19,3,2,0,1,2,3,1,0,0,0,Young Age,Low Salary,Short Stay,Fresh Graduate,564.87
12,13,47,1.0,2,571,2,14,3,3,3,0,78,3,2,7,3,1,4591,24200,3,1,17,3,3,1,11,4,2,5,4,1,2,Pre-retirement Age,Low Salary,Short Stay,Senior Employee,780.47
13,14,42,0.0,2,810,1,23,5,1,1,0,44,3,4,5,4,2,15992,15901,2,0,14,3,2,0,16,2,3,1,0,0,0,Middle Age,High Salary,Short Stay,Senior Employee,2238.88
14,15,31,0.0,2,616,1,12,3,3,4,0,41,3,2,0,4,1,5855,17369,0,1,11,3,3,2,10,2,1,9,7,8,5,Early worker age,Low Salary,Medium Stay,Senior Employee,644.05
15,16,38,0.0,0,573,1,6,3,3,2,0,79,1,2,6,4,0,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,Middle Age,Low Salary,Long Stay,Senior Employee,639.48
16,17,39,0.0,2,408,1,2,4,5,4,0,80,2,2,0,3,2,4553,20978,1,0,11,3,1,0,20,4,3,20,7,11,10,Middle Age,Low Salary,Long Stay,Senior Employee,500.83
17,18,54,0.0,2,821,1,5,2,3,1,1,86,3,5,5,1,1,19406,8509,4,0,11,3,3,1,24,4,2,4,2,1,2,Pre-retirement Age,High Salary,Short Stay,Senior Employee,2134.66
18,19,25,0.0,1,772,1,2,1,1,4,1,77,4,2,4,3,0,5206,4973,1,0,17,3,3,2,7,6,3,7,7,0,7,Early worker age,Low Salary,Medium Stay,Senior Employee,885.0200000000001
19,20,49,0.0,2,1098,1,4,2,3,1,1,85,2,5,3,3,1,18711,12124,2,0,13,3,3,1,23,2,4,1,0,0,0,Pre-retirement Age,High Salary,Short Stay,Senior Employee,2432.4300000000003
20,21,24,0.0,2,691,1,23,3,3,2,1,89,4,1,6,4,1,2725,21630,1,1,11,3,2,2,6,3,3,6,5,1,4,Young Age,Low Salary,Medium Stay,Senior Employee,299.75
21,22,40,0.0,2,302,1,6,3,1,2,0,75,3,4,4,3,2,13237,20364,7,0,15,3,3,0,22,3,3,20,6,5,13,Middle Age,Medium Salary,Long Stay,Senior Employee,1985.55
22,23,41,0.0,0,267,2,10,2,1,4,1,56,3,2,7,4,2,6230,13430,7,0,14,3,4,0,16,3,3,14,3,1,10,Middle Age,Low Salary,Long Stay,Senior Employee,872.2
23,24,32,0.0,2,588,2,8,2,5,3,0,65,2,2,7,2,1,5228,24624,1,1,11,3,4,0,13,2,3,13,12,11,9,Early worker age,Low Salary,Long Stay,Senior Employee,575.08
24,25,24,1.0,2,813,1,1,3,3,2,1,61,3,1,6,4,1,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,Young Age,Low Salary,Short Stay,Senior Employee,366.88
25,26,49,1.0,2,722,1,25,4,1,3,0,84,3,1,2,1,1,3211,22102,1,0,14,3,4,1,10,3,2,9,6,1,4,Pre-retirement Age,Low Salary,Medium Stay,Senior Employee,449.54
26,27,24,0.0,2,350,1,21,2,5,3,1,57,2,1,2,1,0,2296,10036,0,0,14,3,2,3,2,3,3,1,1,0,0,Young Age,Low Salary,Short Stay,Junior Employee,321.44000000000005
27,28,39,0.0,2,412,1,13,4,3,3,0,94,2,4,3,2,0,17123,17334,6,1,13,3,4,2,21,4,3,19,9,15,2,Middle Age,High Salary,Long Stay,Senior Employee,2225.9900000000002
28,29,59,0.0,2,818,0,6,2,3,2,1,52,3,1,1,3,1,2267,25657,8,0,17,3,4,0,7,2,2,2,2,2,2,Retirement Age,Low Salary,Short Stay,Senior Employee,385.39000000000004
29,30,47,1.0,2,1176,0,26,4,1,4,0,98,3,5,3,3,1,19658,5220,3,0,11,3,3,1,27,2,3,5,2,1,0,Pre-retirement Age,High Salary,Short Stay,Senior Employee,2162.38
30,31,36,0.0,2,1425,1,14,1,1,3,1,68,3,2,0,4,1,6586,4821,0,1,17,3,1,1,17,2,2,16,8,4,11,Middle Age,Low Salary,Long Stay,Senior Employee,1119.6200000000001
31,32,30,0.0,2,853,1,7,4,1,3,1,49,3,2,2,3,0,3491,11309,1,0,13,3,1,3,10,4,2,10,7,8,9,Early worker age,Low Salary,Medium Stay,Senior Employee,453.83000000000004
32,33,38,0.0,2,433,0,1,3,0,3,1,37,4,1,1,3,1,2844,6004,1,0,13,3,4,1,7,2,4,7,6,5,0,Middle Age,Low Salary,Medium Stay,Senior Employee,369.72
33,34,28,1.0,1,1496,2,1,3,5,1,1,92,3,1,8,3,1,2909,15747,3,0,15,3,4,1,5,3,4,3,2,1,2,Early worker age,Low Salary,Short Stay,Mid-level Employee,436.34999999999997
34,35,31,0.0,2,192,1,2,4,1,3,1,32,3,1,6,4,0,2695,7747,0,1,18,3,2,1,3,2,1,2,2,2,2,Early worker age,Low Salary,Short Stay,Junior Employee,485.09999999999997
35,36,36,0.0,0,845,2,1,5,3,4,0,45,3,2,7,4,2,6653,15276,4,0,15,3,2,0,7,6,3,1,0,0,0,Middle Age,Low Salary,Short Stay,Senior Employee,997.9499999999999
